鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
大同區,車位,臺北市大同區民族西路76巷2弄1~30號,0.52,住,,,1041210,土地0建物0車位2,地下一層,九層,其他,見使用執照,鋼筋混凝土造,830926,74.47,0,0,0,有,有,4100000,,坡道平面,0,4100000,,RPPOMLSJKHMFFBA57CA,121.5176441,25.0680869
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段75巷211~240號,90.85,住,,,1041222,土地1建物1車位2,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010426,276.97,2,2,1,有,有,39800000,193558,坡道平面,81.68,2000000,親友、員工或其他特殊關係之交易．,RPUQMLRJKHMFFCA28CA,121.614003,25.077126
大同區,房地(土地+建物)+車位,臺北市大同區延平北路二段61~90號,2475.61,商,,,1041231,土地2建物14車位173,地下二層,二十一層,辦公商業大樓,見使用執照,鋼筋混凝土造,880403,27676.22,0,0,0,無,有,2650000000,95750,坡道機械,0,0,"車位共173個, 內含營業稅.",RPRNMLNJKHMFFBA17CA,121.5118043,25.0555232
大安區,房地(土地+建物),臺北市大安區泰順街33巷1~30號,12.88,住,,,1050513,土地1建物1車位0,七層，夾層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,910117,69.55,4,3,3,有,有,5400000,77653,,0,0,親友、員工或其他特殊關係間之交易。,RPUNMLMJKHMFFFA77CA,121.531653,25.0260299
大同區,車位,臺北市大同區重慶北路二段29至31~60號,0.38,商,,,1050608,土地0建物0車位1,地下層,十二層,其他,見使用執照,鋼筋混凝土造,770301,33.74,0,0,0,有,有,1800000,,坡道平面,36.43,1800000,,RPPOMLQJKHMFFBA47DA,121.514422,25.054875
大安區,房地(土地+建物)+車位,臺北市大安區仁愛路三段143巷1~30號,32.51,住,,,1051010,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,891219,141.26,3,2,2,有,有,38500000,272547,升降機械,0,0,含增建或未登記建物。,RPRNMLQJKHMFFFA87CA,121.5331059,25.0384906
松山區,房地(土地+建物)+車位,臺北市松山區八德路二段331~360號,6.97,商,,,1051113,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980123,96.5,2,1,1,有,有,20500000,237797,塔式車位,16.6,1500000,共有人數2人。含增建或未登記建物。內含獨立產權車位，未包含在棟數內。,RPWOMLNJKHMFFDA97CA,121.5432525,25.0475222
松山區,房地(土地+建物),臺北市松山區八德路四段601~630號,2.16,商,,,1051128,土地1建物1車位0,十一層,十一層,其他,住家用,鋼筋混凝土造,780911,18.8,2,2,2,有,無,1500000,79787,,0,0,親友、員工或其他特殊關係間之交易。,RPROMLNJKHMFFDA47CA,121.5742437,25.0500427
松山區,房地(土地+建物),臺北市松山區南京東路五段291巷29弄1~30號,9.88,住,,,1051127,土地1建物1車位0,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,920904,35.98,1,1,1,有,有,7100000,197332,,0,0,,RPROMLOLJHMFFDA67CA,121.5573674,25.0518185
中山區,車位,臺北市中山區長春路61~90號,0.71,商,,,1051219,土地0建物0車位1,地下五層,十七層,其他,見使用執照,鋼筋混凝土造,850718,40.86,0,0,0,有,有,1600000,,坡道平面,0,1600000,,RPTOMLQJKHMFFCA87CA,121.5268296,25.0550232
萬華區,房地(土地+建物),臺北市萬華區康定路181~210號,3.4,商,,,1051129,土地1建物1車位0,十層,十二層,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,670718,37.84,0,0,0,無,有,4150000,109672,,0,0,,RPPNMLRJKHMFFBA37CA,121.5016451,25.036763
中山區,房地(土地+建物),臺北市中山區北安路588巷31~60號,34.8,住,,,1051205,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,831001,116.15,3,2,2,有,有,21000000,180801,,0,0,親友、員工或其他特殊關係間之交易。,RPUPMLPLJHMFFCA18DA,121.5500151,25.0810702
