鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號,lng,lat
大同區,建物,臺北市大同區太原路31~60號,0,商,,,1051116,土地0建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住商用,磚造,,250.36,0,0,0,無,無,無,135337,541,,0,0,,RPOOMLNKKILFFBA27CC,121.5152617,25.0505982
大同區,建物,臺北市大同區華陰街181~210號,0,商,,,1051116,土地0建物1車位0,見其他登記事項,3,公寓(5樓含以下無電梯),住家用,磚造,,218.19,0,0,0,無,無,無,178022,816,,0,0,,RPPOMLNKKILFFBA37CC,121.5153931,25.0503015
大同區,建物,臺北市大同區安西街1~30號,0,商,,,1051126,土地0建物1車位0,全,3,透天厝,,加強磚造,,128.85,2,3,2,有,無,無,30000,233,,0,0,,RPSOMLNKKILFFBA67CC,121.510158,25.05928
大安區,建物,臺北市大安區忠孝東路四段91~120號,0,商,,,1051114,土地0建物1車位0,見其他登記事項,12,店面(店鋪),住家用,鋼筋混凝土造,581022,104.76,0,0,0,無,有,無,460000,4391,,0,0,租賃範圍:一樓西區部分,RPOOMLNKKILFFFA67CC,121.547781,25.041778
中山區,建物,臺北市中山區北安路781~810號,0,住,,,1051228,土地0建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020904,75.89,2,1,1,有,有,有,43000,567,升降機械,0,0,租金包含車位及管理費,RPPNMLMJJHMFFCA07CC,121.553669,25.085743
內湖區,房地(土地+建物)+車位,臺北市內湖區新湖一路151~180號,38.2,工,,,1060101,土地1建物1車位3,六層,7,廠辦,見其他登記事項,鋼筋混凝土造,980623,350.59,0,0,0,無,有,無,102000,359,坡道平面,91.44,9000,,RPRNMLMJJHMFFCA27CC,121.5774714,25.0584465
中山區,建物,臺北市中山區明水路397巷1~30號,0,住,,,1051214,土地0建物1車位3,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961204,406.75,4,2,2,有,有,有,175000,430,坡道平面,103.44,0,,RPUOMLNJJHMFFCA77CC,121.547828,25.078211
中山區,建物,臺北市中山區松江路123巷1~30號,0,住,,,1051208,土地0建物1車位0,三層,3,公寓(5樓含以下無電梯),,加強磚造,,78.49,0,0,0,無,無,有,12500,159,,0,0,租金內含水費?瓦斯費?管理費。,RPVOMLNJJHMFFCA87CC,121.5329859,25.0456563
中山區,建物,臺北市中山區林森北路571~600號,0,商,,,1051223,土地0建物1車位0,八層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,144.52,2,2,2,有,有,有,68000,471,,0,0,租金內含管理費。,RPQPMLNJJHMFFCA47CC,121.5254352,25.0660663
中山區,建物,臺北市中山區松江路421~450號,0,住,,,1051223,土地0建物1車位0,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951221,186.52,3,2,2,有,有,有,68000,365,,0,0,租金內含管理費。,RPTPMLNJJHMFFCA77CC,121.533547,25.065377
