address,category,date,title
台北市信義區松山路132號,Uncategorized,2016/12/27 21:00,F2E&RGBA 設計 Meetup 十二月號
台北市信義區光復南路133號,Exhibition,2016/12/23 11:00,STAY REAL LIFE #在場証明特展: Welcome to StayReal Motel
台北市信義區信義路5段1號,Entertainment,2016/12/24 19:00,【12/24】MIKA NAKASHIMA 15TH ANNIVERSARY
台北市內湖區內湖路一段136號,Outdoors,2016/12/21 20:50,【迴異路 ROUNDABOUT】懸疑推理 X 3大場景
台北市菸廠路88號,Learning,2016/12/18 14:00,【富邦講堂】《大地行走───池上．駐村．蔣勳》
台北市館前路49號,Learning,2017/01/06 00:00,12個故事角色形象 打造有型品牌 基礎篇(12/19台北)
台北市民權西路20號,Uncategorized,2016/12/18 14:00,有美家初行者NO.11
台北市中正區中山南路11號,Gathering,2016/12/17 13:00,2016 台灣鍵盤趴
台北市中正區林森北路27號,Entertainment,2016/12/15 21:00,【12/15】椅子Chairs'【建議是看開點】音樂會
台北市中正區羅斯福路三段244巷2號,Uncategorized,2016/12/17 17:00,Summer Hsu＋小毛/ LUYI -唱歌的人
台北市敦化南路2段198號,Learning,2016/12/17 13:30,[UiGathering 201612 活動] 豈止體驗
台北市大同區太原路97巷13號,Learning,2016/12/18 18:00,字戀小聚 Pro#35：打字年代讓 emoji 代表你的奇蒙子
台北市中山區南京東路三段68號,Uncategorized,2016/12/17 14:00,免費講座★泰國與英國投資趨勢★海外房地產聯合說明會★英國☆日本★菲律賓☆馬來西亞★泰國☆柬埔寨★
台北市大安區復興南路2段237號,Exhibition,2016/12/16 14:00,2016/12/16 美國投資講座/美國投資說明會-菲爾資產
台北市中正區羅斯福路三段244巷2號,Uncategorized,2016/12/17 08:30,河岸過冬16週年活動搖滾篇：王子MEN樂團/前進樂團/凍頂樂團
台北市內湖區洲子街196號,Learning,2016/12/21 09:00,工作坊：為您的公司建立網站和電子信箱 12/21
台北市 / 報名後將於12月1號,Learning,2016/12/17 14:00,認識九型人格覺察自我
台北市南港區研究院路二段 128 號,Learning,2016/12/21 14:00,台灣資料科學年會之系列活動 - Data Exploration with Modern R
台北市內湖區洲子街196號,Learning,2016/12/29 10:00,工作坊：為您的公司建立網站和電子信箱 12/29
台北市大安區復興南路2段332號,Networking,2016/12/28 19:00,Taipei.IO | 2nd Annivesary 
台北市敦化南路2段216號,Gathering,2016/12/17 14:00,openSUSE Leap 42.2 Release Party + Pizza time
臺北市信義區松仁路9號,Learning,2016/12/21 13:30,【財務長菁英論壇－談管理，看趨勢！】第二場 看趨勢
台北市中山區中山北路三段40號,Exhibition,2016/12/28 19:00,2016 微星校園電競營大同場
台北市臺北市內湖區康寧路三段72號,Entertainment,2016/12/28 18:00,12/28 - 電影版妖怪手錶：閻魔大王同5個故事喵！
台北市中山區松江路350號,Learning,2016/12/29 19:40,＂告別句點王＂ 聊天聊出好業績(台北5班)
