鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
內湖區,房地(土地+建物)+車位,臺北市內湖區康寧路三段75巷211~240號,90.85,住,,,1041222,土地1建物1車位2,二層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1010426.0,276.97,2,2,1,有,有,39800000,193558.0,坡道平面,81.68,2000000,親友、員工或其他特殊關係之交易．,RPUQMLRJKHMFFCA28CA,121.614003,25.077126
大安區,房地(土地+建物),臺北市大安區泰順街33巷1~30號,12.88,住,,,1050513,土地1建物1車位0,七層，夾層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,910117.0,69.55,4,3,3,有,有,5400000,77653.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUNMLMJKHMFFFA77CA,121.531653,25.0260299
大安區,房地(土地+建物)+車位,臺北市大安區仁愛路三段143巷1~30號,32.51,住,,,1051010,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,891219.0,141.26,3,2,2,有,有,38500000,272547.0,升降機械,0.0,0,含增建或未登記建物。,RPRNMLQJKHMFFFA87CA,121.53310590000001,25.038490600000003
松山區,房地(土地+建物)+車位,臺北市松山區八德路二段331~360號,6.97,商,,,1051113,土地2建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,980123.0,96.5,2,1,1,有,有,20500000,237797.0,塔式車位,16.6,1500000,共有人數2人。含增建或未登記建物。內含獨立產權車位，未包含在棟數內。,RPWOMLNJKHMFFDA97CA,121.5432525,25.0475222
松山區,房地(土地+建物),臺北市松山區八德路四段601~630號,2.16,商,,,1051128,土地1建物1車位0,十一層,十一層,其他,住家用,鋼筋混凝土造,780911.0,18.8,2,2,2,有,無,1500000,79787.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPROMLNJKHMFFDA47CA,121.5742437,25.0500427
松山區,房地(土地+建物),臺北市松山區南京東路五段291巷29弄1~30號,9.88,住,,,1051127,土地1建物1車位0,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,920904.0,35.98,1,1,1,有,有,7100000,197332.0,,0.0,0,,RPROMLOLJHMFFDA67CA,121.55736740000002,25.0518185
中山區,房地(土地+建物),臺北市中山區北安路588巷31~60號,34.8,住,,,1051205,土地1建物1車位0,五層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,831001.0,116.15,3,2,2,有,有,21000000,180801.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPUPMLPLJHMFFCA18DA,121.55001509999998,25.0810702
信義區,建物,臺北市信義區松勇路31~60號,0.0,,,,1051201,土地0建物1車位2,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,921009.0,505.13,5,2,3,有,有,22010000,43573.0,坡道平面,0.0,0,權利人取得土地地上權親友、員工或其他特殊關係間之交易。,RPQOMLTJJHMFFDA97DA,121.57009120000001,25.0368853
松山區,房地(土地+建物),臺北市松山區南京東路五段250巷18弄31~60號,34.5,住,,,1051122,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,640612.0,109.41,3,2,2,有,無,11123800,101671.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQOMLOJJHMFFDA47DA,121.56808400000001,25.050552
信義區,房地(土地+建物),臺北市信義區吳興街600巷76弄61~90號,15.9,住,,,1051213,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,711006.0,48.94,2,1,1,有,無,6080000,124234.0,,0.0,0,含增建或未登記建物。,RPTNMLQKJHMFFDA97DA,121.57040090000001,25.0177936
北投區,房地(土地+建物),臺北市北投區大興街91~120號,55.0,住,,,1051128,土地6建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,720202.0,109.27,3,1,1,有,無,15000000,137275.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPTOMLOJJHMFFEA87DA,121.50229340000001,25.130861300000003
中山區,房地(土地+建物),臺北市中山區長安東路一段30巷3弄1~30號,9.63,商,,,1051220,土地1建物1車位0,三層,五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,831212.0,40.93,1,1,1,有,無,6500000,158808.0,,0.0,0,含增建或未登記建物。,RPTOMLNJJHMFFCA57DA,121.522081,25.049818
大同區,房地(土地+建物)+車位,臺北市大同區萬全街1~30號,14.01,商,,,1051228,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016.0,185.78,3,2,2,有,有,40590000,277807.0,坡道平面,50.47,3000000,,RPUNMLQLJHMFFBA97DA,121.52034909999999,25.058718
大同區,房地(土地+建物)+車位,臺北市大同區萬全街1~30號,14.01,商,,,1051228,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016.0,185.78,3,2,2,有,有,40970000,280615.0,坡道平面,50.47,3000000,,RPVNMLQLJHMFFBA08DA,121.52034909999999,25.058718
大同區,房地(土地+建物),臺北市大同區萬全街1~30號,7.75,商,,,1051228,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016.0,84.49,1,2,1,有,有,25500000,301811.0,,0.0,0,,RPXNMLQLJHMFFBA28DA,121.52034909999999,25.058718
內湖區,房地(土地+建物)+車位,臺北市內湖區陽光街68巷61~90號,36.94,住,,,1051204,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,900410.0,188.02,4,2,2,有,有,34500000,213087.0,坡道平面,35.5,2000000,含增建或未登記建物。,RPQQMLPJJHMFFCA67DA,121.585999,25.076656600000003
內湖區,房地(土地+建物),臺北市內湖區民權東路六段90巷25弄31~60號,32.4,住,,,1051124,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,730123.0,98.39,3,2,2,有,無,12200000,123996.0,,0.0,0,含增建或未登記建物。,RPTQMLQJJHMFFCA08DA,121.58715159999998,25.0671133
文山區,房地(土地+建物)+車位,臺北市文山區木新路三段232巷7弄1~30號,38.16,住,,,1051218,土地1建物1車位1,八層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,960215.0,221.63,3,2,2,有,有,29700000,136605.0,一樓平面,20.32,2200000,含增建或未登記建物。共有人2人,RPSOMLKKJHMFFAA07DA,121.56524209999999,24.9826247
文山區,房地(土地+建物)+車位,臺北市文山區興隆路二段61巷1~30號,27.62,住,,,1051016,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020812.0,190.95,3,2,2,有,有,34380000,206303.0,坡道平面,36.42,2500000,,RPQNMLNJKHMFFAA07DA,121.5455398,24.9990517
萬華區,房地(土地+建物),臺北市萬華區萬大路481~510號,9.08,住,,,1051219,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,661021.0,26.92,2,1,2,有,無,4200000,156018.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPROMLOJJHMFFBA37DA,121.49810590000001,25.020305800000003
