鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
大同區,建物,臺北市大同區華陰街181~210號,0.0,商,,,1051116,土地0建物1車位0,見其他登記事項,3.0,公寓(5樓含以下無電梯),住家用,磚造,,218.19,0,0,0,無,無,無,178022,816.0,,0.0,0,,RPPOMLNKKILFFBA37CC,121.51539309999998,25.0503015
大安區,建物,臺北市大安區忠孝東路四段91~120號,0.0,商,,,1051114,土地0建物1車位0,見其他登記事項,12.0,店面(店鋪),住家用,鋼筋混凝土造,581022.0,104.76,0,0,0,無,有,無,460000,4391.0,,0.0,0,租賃範圍:一樓西區部分,RPOOMLNKKILFFFA67CC,121.547781,25.041778
中山區,建物,臺北市中山區北安路781~810號,0.0,住,,,1051228,土地0建物1車位1,六層,14.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020904.0,75.89,2,1,1,有,有,有,43000,567.0,升降機械,0.0,0,租金包含車位及管理費,RPPNMLMJJHMFFCA07CC,121.553669,25.085743
中山區,建物,臺北市中山區明水路397巷1~30號,0.0,住,,,1051214,土地0建物1車位3,三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,961204.0,406.75,4,2,2,有,有,有,175000,430.0,坡道平面,103.44,0,,RPUOMLNJJHMFFCA77CC,121.54782800000001,25.078211
中山區,建物,臺北市中山區林森北路571~600號,0.0,商,,,1051223,土地0建物1車位0,八層,13.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726.0,144.52,2,2,2,有,有,有,68000,471.0,,0.0,0,租金內含管理費。,RPQPMLNJJHMFFCA47CC,121.52543519999999,25.0660663
中山區,建物,臺北市中山區松江路421~450號,0.0,住,,,1051223,土地0建物1車位0,四層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,951221.0,186.52,3,2,2,有,有,有,68000,365.0,,0.0,0,租金內含管理費。,RPTPMLNJJHMFFCA77CC,121.533547,25.065376999999998
松山區,建物,臺北市松山區南京東路五段211~240號,0.0,其他,,,1051231,土地0建物1車位0,十四層,18.0,套房(1房1廳1衛),住家用,鋼筋混凝土造,980331.0,51.7,1,1,1,有,有,有,26000,503.0,,0.0,0,,RPOOMLNJJHMFFDA27CC,121.5578,25.05189
松山區,建物,臺北市松山區松山區慶成街31~60號,0.0,其他,,,1051206,土地0建物1車位7,五層,15.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1010903.0,1127.02,4,4,4,有,有,無,520000,461.0,坡道平面,0.0,0,,RPQOMLNJJHMFFDA47CC,121.5445436,25.052651100000002
信義區,建物,臺北市信義區信義路五段91~120號,0.0,其他,,,1051215,土地0建物1車位0,十二層,27.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,961228.0,499.12,5,3,4,有,有,有,350000,701.0,,0.0,0,,RPVOMLNJJHMFFDA97CC,121.56511370000001,25.0326825
信義區,建物,臺北市信義區松德路91~120號,0.0,住,,,1051212,土地0建物1車位0,十二層,24.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,831006.0,139.92,3,2,2,有,有,有,30000,214.0,,0.0,0,,RPWOMLNJJHMFFDA08CC,121.574655,25.037532000000002
