鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
松山區,車位,臺北市松山區南京東路四段53巷3弄1~30號,4.14,住,,,1051119,土地0建物0車位1,地下二層，地下三層,十層,其他,停車空間,鋼筋混凝土造,900709.0,38.63,0,0,0,有,無,2500000,,坡道平面,0.0,2500000,,RPPQMLSJKHMFFDA97CA,121.5495307,25.0519742
信義區,車位,臺北市信義區和平東路三段463巷1~30號,0.39,住,,,1051222,土地0建物0車位1,一層，地下一層，地下二層,十一層,其他,停車空間,鋼筋混凝土造,891021.0,6.32,0,0,0,有,有,750000,,升降機械,0.0,750000,,RPOOMLPJJHMFFDA37DA,121.54675800000001,25.024907000000002
信義區,車位,臺北市信義區崇德街38巷1~30號,1.69,住,,,1051222,土地0建物0車位1,地下二層,十六層,其他,停車空間,鋼筋混凝土造,840216.0,45.03,0,0,0,有,有,2778000,,坡道平面,0.0,0,,RPPNMLQJJHMFFDA47DA,121.553878,25.024031
大安區,車位,臺北市大安區潮州街60巷1~30號,4.89,住,,,1051225,土地0建物0車位1,一層，地下層,五層,其他,停車空間,鋼筋混凝土造,880607.0,13.17,0,0,0,有,有,1550000,,升降機械,0.0,1550000,,RPSNMLLKJHMFFFA47CA,121.52380670000001,25.029025
士林區,車位,臺北市士林區芝玉路一段211~240號,5.83,住,,,1051222,土地0建物0車位1,地下一層,十八層,其他,停車空間,鋼骨鋼筋混凝土造,971112.0,17.32,0,0,0,有,有,2500000,,坡道平面,17.31,2500000,,RPPQMLTKJHMFFEA18CA,121.533156,25.1087593
中正區,車位,臺北市中正區林森南路91~120號,0.19,住,,,1051222,土地0建物0車位4,一層,十層,其他,停車空間,鋼骨鋼筋混凝土造,990818.0,24.52,0,0,0,有,無,1800000,,塔式車位,0.0,1800000,,RPVPMLNLJHMFFBA97DA,121.52153100000001,25.0383003
文山區,車位,臺北市文山區羅斯福路五段150巷1~30號,6.26,住,,,1051228,土地0建物0車位1,地下二層,十二層,其他,停車空間,鋼筋混凝土造,891211.0,30.47,0,0,0,有,有,1700000,,坡道平面,0.0,1700000,,RPPOMLKKJHMFFAA76DA,121.538533,25.0051829
中山區,車位,臺北市中山區北安路608巷1~30號,1.85,住,,,1051224,土地0建物0車位1,地下三層,十四層,其他,停車空間,鋼筋混凝土造,950516.0,41.2,0,0,0,有,有,1650000,,坡道平面,0.0,1650000,,RPWNMLNKJHMFFCA77CA,121.54969720000001,25.0820257
南港區,車位,臺北市南港區舊莊街一段3巷1~30號,0.1,住,,,1060103,土地0建物0車位1,地下一層，地下二層,七層,其他,停車空間,鋼筋混凝土造,941025.0,24.62,0,0,0,有,有,350000,,升降機械,0.0,350000,,RPQPMLLKJHMFFDA27CA,121.61723459999999,25.042389399999998
中正區,車位,臺北市中正區南海路31~60號,0.19,住,,,1051221,土地0建物0車位1,地下三層,七層,其他,停車空間,鋼筋混凝土造,961017.0,16.89,0,0,0,有,有,980000,,升降機械,0.0,980000,,RPPOMLRKJHMFFAA37CA,121.51418170000001,25.0318441
