鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
大同區,車位,臺北市大同區民族西路76巷2弄1~30號,0.52,住,,,1041210,土地0建物0車位2,地下一層,九層,其他,見使用執照,鋼筋混凝土造,830926.0,74.47,0,0,0,有,有,4100000,,坡道平面,0.0,4100000,,RPPOMLSJKHMFFBA57CA,121.51764409999998,25.068086899999997
大同區,房地(土地+建物)+車位,臺北市大同區延平北路二段61~90號,2475.61,商,,,1041231,土地2建物14車位173,地下二層,二十一層,辦公商業大樓,見使用執照,鋼筋混凝土造,880403.0,27676.22,0,0,0,無,有,2650000000,95750.0,坡道機械,0.0,0,"車位共173個, 內含營業稅.",RPRNMLNJKHMFFBA17CA,121.51180430000001,25.0555232
大同區,車位,臺北市大同區重慶北路二段29至31~60號,0.38,商,,,1050608,土地0建物0車位1,地下層,十二層,其他,見使用執照,鋼筋混凝土造,770301.0,33.74,0,0,0,有,有,1800000,,坡道平面,36.43,1800000,,RPPOMLQJKHMFFBA47DA,121.514422,25.054875
中山區,車位,臺北市中山區長春路61~90號,0.71,商,,,1051219,土地0建物0車位1,地下五層,十七層,其他,見使用執照,鋼筋混凝土造,850718.0,40.86,0,0,0,有,有,1600000,,坡道平面,0.0,1600000,,RPTOMLQJKHMFFCA87CA,121.52682959999999,25.055023199999997
萬華區,房地(土地+建物),臺北市萬華區康定路181~210號,3.4,商,,,1051129,土地1建物1車位0,十層,十二層,套房(1房1廳1衛),見使用執照,鋼筋混凝土造,670718.0,37.84,0,0,0,無,有,4150000,109672.0,,0.0,0,,RPPNMLRJKHMFFBA37CA,121.50164509999999,25.036763
士林區,車位,臺北市士林區中山北路七段151~180號,4.54,住,,,1051201,土地0建物0車位1,地下層,七層,其他,見使用執照,鋼筋混凝土造,691114.0,32.99,0,0,0,有,無,2500000,,坡道平面,32.99,2500000,,RPSOMLQJKHMFFEA08DA,121.5321256,25.1234456
文山區,車位,臺北市文山區忠順街二段61~90號,10.54,住,,,1051201,土地0建物0車位1,地下二層,五層,其他,見使用執照,鋼筋混凝土造,780916.0,39.31,0,0,0,有,無,2285060,,坡道平面,39.3,2285060,親友、員工或其他特殊關係間之交易。,RPOOMLLKJHMFFAA66CA,121.564526,24.98508
大安區,車位,臺北市大安區忠孝東路四段216巷31~60號,0.0,,,,1051222,土地0建物0車位1,倉庫，地下層,七層,其他,見使用執照,鋼筋混凝土造,650210.0,43.35,0,0,0,有,有,3500000,,坡道平面,43.35,3500000,,RPXNMLOJJHMFFFA18CA,121.553054,25.0395997
內湖區,房地(土地+建物),臺北市內湖區成功路四段181~210號,3.67,住,,,1051226,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,690131.0,22.73,5,2,2,有,無,2200000,96831.0,,0.0,0,1.持分交易2.畸零地或有合併使用之交易。,RPPNMLLMJHMFFCA07CA,121.59495049999998,25.083901
松山區,車位,臺北市松山區民權東路三段160巷1~30號,4.08,住,,,1051018,土地0建物0車位1,見使用執照,七層,其他,見使用執照,鋼筋混凝土造,720527.0,16.99,0,0,0,有,有,670000,,坡道平面,0.0,670000,親友、員工或其他特殊關係間之交易。,RPVOMLQJKHMFFDA28DA,121.5481669,25.0614754
大安區,房地(土地+建物),臺北市大安區麗水街1~30號,4.92,住,,,1051208,土地2建物1車位0,一層,七層,店面(店鋪),見使用執照,鋼筋混凝土造,670614.0,29.66,0,0,0,無,無,31000000,1044826.0,,0.0,0,,RPSNMLKKJHMFFFA47DA,121.529128,25.0325879
內湖區,車位,臺北市內湖區民權東路六段151~180號,2.32,商,,,1051215,土地0建物0車位1,地下一層，地下二層，地下三層,十四層,其他,見使用執照,鋼筋混凝土造,810629.0,30.69,0,0,0,有,有,1950000,,坡道平面,30.69,1950000,,RPPPMLQJJHMFFCA47CA,121.5947034,25.068938600000003
信義區,房地(土地+建物),臺北市信義區忠孝東路五段241~270號,52.11,商,,,1051017,土地2建物2車位0,二層,七層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,,292.08,2,2,0,有,有,60078000,205690.0,,0.0,0,,RPPPMLQJJHMFFDA57CA,121.57001399999999,25.042405
信義區,車位,臺北市信義區光復南路419巷1~30號,6.63,商,,,1051223,土地0建物0車位1,地下層,七層,其他,見使用執照,鋼筋混凝土造,,32.74,0,0,0,有,無,3220000,,升降平面,32.74,3220000,,RPVPMLOKKHMFFDA18CA,121.55797109999999,25.036457100000003
中正區,房地(土地+建物),臺北市中正區南昌路二段181~210號,7.64,商,,,1051222,土地5建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,670819.0,97.47,3,2,2,有,有,24650000,252898.0,,0.0,0,,RPWNMLRKJHMFFAA97CA,121.52294369999998,25.025477
信義區,房地(土地+建物),臺北市信義區信義路五段150巷411弄1~30號,55.77,住,,,1051125,土地1建物1車位0,一層,六層,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,720316.0,253.81,4,2,3,有,無,31200000,122927.0,,0.0,0,,RPRPMLQJKHMFFDA87CA,121.56077890000002,25.033505399999996
