鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
萬華區,建物,臺北市萬華區南寧路31~60號,0.0,商,,,1051217,土地0建物2車位0,一層,12.0,店面(店鋪),見使用執照,鋼筋混凝土造,800925.0,391.18,1,0,1,有,無,有,85000,217.0,,0.0,0,承租範圍1+B1,RPUNMLOJJHMFFBA67CC,121.50475390000001,25.0367725
大安區,建物,臺北市大安區敦化南路一段252巷1~30號,33.06,住,,,1051213,土地0建物1車位0,一層,7.0,華廈(10層含以下有電梯),見使用執照,鋼筋混凝土造,,241.75,0,0,0,無,無,無,220000,910.0,,0.0,0,,RPOOMLMKJHMFFFA47CC,121.5481445,25.0398942
松山區,建物,臺北市松山區民權東路三段151~180號,0.0,住,,,1051219,土地0建物1車位1,十層,15.0,辦公商業大樓,見使用執照,見使用執照,911001.0,896.39,0,0,0,無,有,無,515204,575.0,坡道平面,0.0,0,,RPROMLMKJHMFFDA57CC,121.54661200000001,25.062206399999997
大安區,建物,臺北市大安區復興南路一段126巷1~30號,79.01,其他,,,1060107,土地0建物1車位0,十層,11.0,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,701231.0,79.01,2,1,1,有,有,有,40000,506.0,,0.0,0,,RPUNMLTKJHMFFFA68CC,121.54319469999999,25.0431322
信義區,建物,臺北市信義區基隆路二段121~150號,0.0,商,,,1060109,土地0建物7車位0,一層,17.0,店面(店鋪),見使用執照,鋼筋混凝土造,850820.0,778.66,0,0,0,無,有,無,500000,642.0,,0.0,0,,RPPNMLPLJHMFFDA67CC,121.55706940000002,25.0286362
信義區,建物,臺北市信義區基隆路二段181~210號,0.0,商,,,1060109,土地0建物1車位0,十三層,21.0,辦公商業大樓,見使用執照,鋼筋混凝土造,860221.0,57.24,0,0,0,無,有,無,30000,524.0,,0.0,0,,RPWNMLMJKHMFFDA08DC,121.5534894,25.0249938
北投區,建物,臺北市北投區裕民六路91~120號,0.0,商,,,1060101,土地0建物1車位0,十二層,17.0,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,920221.0,146.71,2,2,2,有,有,有,45000,307.0,,0.0,0,,RPQNMLKKKHMFFEA37CC,121.5172288,25.1137919
南港區,建物,臺北市南港區忠孝東路七段571~600號,0.0,工,,,1060116,土地0建物1車位0,一層,5.0,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,,86.81,0,0,0,無,無,無,32000,369.0,,0.0,0,,RPPPMLSKJHMFFDA08CC,121.61412920000001,25.0531174
中正區,建物,臺北市中正區羅斯福路二段151~180號,0.0,商,,,1060116,土地0建物1車位0,六層,12.0,住宅大樓(11層含以上有電梯),見使用執照,鋼骨鋼筋混凝土造,910208.0,130.61,1,1,1,有,無,無,68000,521.0,,0.0,0,,RPRNMLSKJHMFFAA77CC,121.52333390000001,25.025710500000002
大安區,建物,臺北市大安區和平東路一段1~30號,0.0,商,,,1051230,土地0建物1車位0,七層,12.0,辦公商業大樓,見使用執照,鋼筋混凝土造,791222.0,162.4,1,1,1,有,無,無,73788,454.0,,0.0,0,,RPXNMLSKJHMFFFA88CC,121.52941399999999,25.0267169
