鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
中山區,房地(土地+建物),臺北市中山區林森北路241~270號,2.68,商,,,1051216,土地2建物2車位0,十一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,710707.0,33.14,1,1,1,有,有,3880000,117114.0,,0.0,0,親友間交易 權利人共3人,RPSPMLTJJHMFFCA18DA,121.52547220000001,25.0538966
信義區,房地(土地+建物),臺北市信義區中坡南路121~150號,32.43,住,,,1051206,土地3建物1車位0,一層,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,18.09,0,0,0,無,無,2500000,138198.0,,0.0,0,瑕疵物件之交易。,RPOQMLMKJHMFFDA27CA,121.58532959999998,25.041656399999997
北投區,房地(土地+建物),臺北市北投區大業路691~720號,35.25,住,,,1051205,土地3建物1車位0,一層，平台，騎樓,四層,店面(店鋪),商業用,鋼筋混凝土造,640507.0,120.18,0,0,0,無,無,25000000,208021.0,,0.0,0,,RPXTMLNLJHMFFEA78CA,121.5001847,25.1371817
大同區,房地(土地+建物),臺北市大同區長安西路331~360號,10.25,商,,,1051103,土地1建物1車位0,六層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,760219.0,132.48,3,2,2,有,有,18820000,142059.0,,0.0,0,,RPVNMLQKJHMFFBA87CA,121.5075507,25.052290300000003
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段211~240號,14.35,商,,,1051124,土地1建物1車位1,四層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,960913.0,114.99,3,2,1,有,有,15800000,137403.0,升降機械,7.62,0,含增建或未登記建物。,RPPOMLPJJHMFFCA27CA,121.5994289,25.0671073
大安區,房地(土地+建物),臺北市大安區和平東路二段331~360號,5.05,商,,,1051127,土地2建物1車位0,十層,十四層,套房(1房1廳1衛),商業用,鋼筋混凝土造,850930.0,36.62,1,1,1,有,有,8000000,218460.0,,0.0,0,,RPQOMLNKJHMFFFA57CA,121.5455125,25.024983
中山區,房地(土地+建物),臺北市中山區松江路31~60號,4.31,商,,,1051129,土地2建物1車位0,六層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,790514.0,34.2,1,1,1,有,有,6660000,194737.0,,0.0,0,含增建或未登記建物。,RPPNMLRJJHMFFCA47DA,121.53317379999999,25.0474392
中山區,房地(土地+建物),臺北市中山區民生東路一段1~30號,4.21,商,,,1051219,土地1建物1車位0,五層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,951012.0,38.64,1,1,1,有,有,8000000,207039.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPOOMLOJJHMFFCA17DA,121.524294,25.0582153
內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段123巷34弄1~30號,11.19,商,,,1051107,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,970429.0,123.36,2,2,1,有,有,19300000,156453.0,坡道機械,9.15,0,,RPVQMLQJJHMFFCA28DA,121.59234359999999,25.0703943
萬華區,房地(土地+建物),臺北市萬華區桂林路242巷6弄1~30號,9.0,住,,,1051231,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,721208.0,47.61,1,1,1,有,無,2200000,46209.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPXNMLTJJHMFFBA28CA,121.50630090000001,25.0377674
中正區,房地(土地+建物),臺北市中正區羅斯福路一段31~60號,11.63,商,,,1051215,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,761016.0,108.8,2,2,2,有,有,27000000,248162.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPVOMLNLJHMFFAA67CA,121.51912949999999,25.031426800000002
士林區,房地(土地+建物)+車位,臺北市士林區重慶北路四段241~270號,28.72,住,,,1051201,土地1建物1車位1,四層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,810907.0,213.15,0,0,0,無,有,25000000,117288.0,坡道平面,0.0,0,,RPWPMLNKJHMFFEA18CA,121.51085379999999,25.085638600000003
信義區,房地(土地+建物),臺北市信義區莊敬路451~480號,10.96,商,,,1051115,土地5建物1車位0,一層，騎樓,七層,店面(店鋪),商業用,鋼筋混凝土造,650909.0,59.16,0,1,0,有,有,31000000,524003.0,,0.0,0,,RPRPMLQJJHMFFDA77CA,121.56741299999999,25.027075
松山區,建物,臺北市松山區南京東路四段31~60號,0.0,,,,1051206,土地0建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,670317.0,62.5,1,0,0,有,有,1000000,16000.0,,0.0,0,二親等買賣,RPTPMLQJJHMFFDA97CA,121.5506435,25.0519706
中正區,房地(土地+建物),臺北市中正區汀州路一段151~180號,19.92,住,,,1051129,土地1建物1車位0,一層，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,620509.0,63.65,0,0,0,無,無,20000000,314218.0,,0.0,0,二親等買賣,RPOOMLQJKHMFFAA17CA,121.51028729999999,25.0275098
中正區,房地(土地+建物),臺北市中正區寧波東街16巷1~30號,13.44,住,,,1051206,土地1建物1車位0,一層,十二層,店面(店鋪),商業用,鋼筋混凝土造,741022.0,76.49,0,0,0,無,有,16000000,209178.0,,0.0,0,,RPSNMLSJJHMFFAA57CA,121.52023770000001,25.0328134
中正區,房地(土地+建物),臺北市中正區信義路二段61~90號,6.84,商,,,1051209,土地1建物1車位0,六層,六層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,,37.84,3,1,1,有,無,8200000,216702.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPRNMLNLJHMFFBA27CA,121.52618000000001,25.034799
中山區,房地(土地+建物),臺北市中山區松江路121~150號,31.46,商,,,1051226,土地1建物2車位0,七層,十一層,辦公商業大樓,商業用,鋼筋混凝土造,611227.0,286.65,4,1,0,有,有,52000000,181406.0,,0.0,0,,RPXNMLTKJHMFFCA48CA,121.53335030000001,25.0528258
中山區,房地(土地+建物),臺北市中山區雙城街4巷1~30號,5.86,商,,,1051214,土地1建物1車位0,三層,七層,套房(1房1廳1衛),商業用,鋼筋混凝土造,831018.0,43.27,1,1,1,有,有,6500000,150220.0,,0.0,0,,RPQNMLNLJHMFFCA27CA,121.52446409999999,25.0630116
中山區,房地(土地+建物),臺北市中山區新生北路三段31~60號,4.34,商,,,1051230,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,700504.0,42.96,1,1,1,有,有,7200000,167598.0,,0.0,0,,RPPQMLQJJHMFFCA57CA,121.52805759999998,25.064686899999998
北投區,房地(土地+建物),臺北市北投區大業路541~570號,22.25,商,,,1051206,土地2建物1車位0,一層，平台，騎樓,四層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,650527.0,66.64,1,1,1,有,無,18200000,273109.0,,0.0,0,,RPUNMLKKJHMFFEA57DA,121.496489,25.135428
中山區,房地(土地+建物),臺北市中山區中山北路一段83巷1~30號,6.14,商,,,1051203,土地1建物1車位0,三層,五層,套房(1房1廳1衛),商業用,鋼筋混凝土造,740129.0,31.48,0,1,1,有,有,5000000,158831.0,,0.0,0,含增建或未登記建物。,RPOSMLNKJHMFFCA57DA,121.52251090000001,25.0504647
中山區,車位,臺北市中山區伊通街125巷1~30號,0.13,住,,,1051119,土地0建物0車位1,一層,十層,其他,商業用,鋼筋混凝土造,900827.0,41.97,0,0,0,有,無,2500000,,升降平面,41.97,2500000,,RPWNMLOKJHMFFCA97DA,121.53476540000001,25.0480342
中山區,房地(土地+建物),臺北市中山區松江路1~30號,2.51,商,,,1051203,土地1建物1車位0,四層,十三層,套房(1房1廳1衛),商業用,鋼筋混凝土造,701208.0,35.53,1,1,1,有,有,5100000,143541.0,,0.0,0,,RPWOMLNKJHMFFCA97DA,121.53298590000001,25.0456563
中山區,車位,臺北市中山區天祥路61~90號,1.05,商,,,1051225,土地0建物0車位1,一層,十四層,其他,商業用,鋼筋混凝土造,931203.0,36.17,0,0,0,有,有,2000000,,坡道平面,36.17,2000000,,RPTPMLNKJHMFFCA77DA,121.5207947,25.0633016
中山區,建物,臺北市中山區長春路258巷1~30號,0.0,,,,1051217,土地0建物1車位1,五層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,850924.0,96.32,1,1,1,有,有,5300000,111082.0,坡道平面,57.61,1000000,,RPVPMLNKJHMFFCA97DA,121.5308377,25.054746100000003
