鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
內湖區,建物,臺北市內湖區民權東路六段123巷1~30號,0.0,商,,,1051209,土地0建物1車位0,七層,10.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,880717.0,94.01,1,1,1,有,有,有,34000,362.0,,0.0,0,,RPUQMLNJJHMFFCA97CC,121.5775289,25.0661671
內湖區,建物,臺北市內湖區民權東路六段180巷1~30號,0.0,商,,,1051209,土地0建物1車位0,八層,12.0,辦公商業大樓,商業用,鋼筋混凝土造,881102.0,65.88,0,0,1,有,有,無,22000,334.0,,0.0,0,,RPVQMLNJJHMFFCA08CC,121.5775289,25.0661671
內湖區,建物,臺北市內湖區民權東路六段123巷1~30號,0.0,商,,,1051227,土地0建物1車位0,五層,10.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,880717.0,44.8,0,1,1,有,有,無,16000,357.0,,0.0,0,,RPWQMLNJJHMFFCA18CC,121.5775289,25.0661671
松山區,建物,臺北市松山區光復北路1~30號,0.0,住,,,1051211,土地0建物1車位0,一層,12.0,店面(店鋪),商業用,鋼筋混凝土造,771123.0,251.3,0,0,1,有,有,有,130000,517.0,,0.0,0,續租。,RPXOMLNJJHMFFDA18CC,121.5580718,25.0484203
信義區,房地(土地+建物),臺北市信義區基隆路一段151~180號,38.83,商,,,1051220,土地1建物1車位0,八層,14.0,辦公商業大樓,商業用,鋼筋混凝土造,730810.0,62.8,0,0,0,無,有,無,20000,318.0,,0.0,0,,RPSPMLNJJHMFFDA77CC,121.565476,25.04234
大安區,房地(土地+建物),臺北市大安區臥龍街271~300號,55.06,住,,,1051221,土地1建物1車位0,一層,5.0,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,810224.0,166.29,1,1,1,有,無,無,46000,277.0,,0.0,0,,RPWNMLNJJHMFFFA18CC,121.5565445,25.018659699999997
大安區,建物,臺北市大安區四維路181~210號,0.0,其他,,,1060103,土地0建物1車位0,一層,26.0,店面(店鋪),商業用,鋼筋混凝土造,741204.0,164.67,0,0,0,無,有,有,130000,789.0,,0.0,0,,RPOOMLNJJHMFFFA47CC,121.54815220000002,25.0280198
信義區,建物,臺北市信義區忠孝東路五段481~510號,0.0,商,,,1051217,土地0建物1車位0,三層,27.0,辦公商業大樓,商業用,鋼骨混凝土造,820813.0,150.95,1,1,0,有,有,有,86843,575.0,,0.0,0,,RPPOMLNJJHMFFDA47DC,121.577475,25.041004
大安區,建物,臺北市大安區信義路四段121~150號,0.0,其他,,,1051228,土地0建物1車位0,六層,12.0,套房(1房1廳1衛),商業用,鋼筋混凝土造,691124.0,140.61,1,1,1,有,有,有,27200,193.0,,0.0,0,,RPWNMLOJJHMFFFA28CC,121.5440779,25.0335589
大安區,建物,臺北市大安區復興南路一段331~360號,0.0,商,,,1051212,土地0建物1車位0,一層,12.0,店面(店鋪),商業用,鋼筋混凝土造,,144.62,0,0,0,無,無,無,90000,622.0,,0.0,0,,RPSOMLOJJHMFFFA97CC,121.5435611,25.0361623
