鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,lng,lat
松山區,房地(土地+建物),臺北市松山區光復南路45巷31~60號,43.59,住,,,1051110,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,,91.96,3,2,2,有,無,12850000,139735.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPQPMLNJJHMFFDA37CA,121.5587617,25.0463477
萬華區,房地(土地+建物),臺北市萬華區西園路二段320巷55弄1~30號,32.0,住,,,1051213,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,620906.0,74.12,3,1,1,有,無,7636400,103028.0,,0.0,0,,RPSNMLRKJHMFFBA77DA,121.49146709999998,25.0279009
南港區,房地(土地+建物)+車位,臺北市南港區成功路一段31~60號,69.45,工,,,1051130,土地1建物2車位4,四層,九層,辦公商業大樓,工業用,鋼筋混凝土造,910603.0,432.64,6,0,0,有,有,40890000,94513.0,坡道平面,0.0,0,,RPXOMLPLJHMFFDA38CA,121.593232,25.0553569
信義區,房地(土地+建物),臺北市信義區東興路31~60號,45.71,工,,,1051130,土地1建物1車位0,八層,十一層,辦公商業大樓,工業用,鋼筋混凝土造,820205.0,428.28,12,2,2,有,有,62500000,145933.0,,0.0,0,,RPTNMLSKJHMFFDA08CA,121.56585590000002,25.048614699999998
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路358巷30弄1~30號,395.51,其他,,,1051201,土地1建物7車位16,二層,七層,廠辦,工業用,鋼筋混凝土造,890201.0,2546.99,0,0,0,無,有,298000000,117001.0,坡道平面,636.16,0,,RPQPMLKLJHMFFCA17CA,121.5842514,25.069110600000002
內湖區,房地(土地+建物),臺北市內湖區內湖路一段91巷24弄1~30號,35.54,工,,,1051107,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,691210.0,130.71,4,2,2,有,無,6200000,47433.0,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPSNMLKLJHMFFCA17CA,121.5621261,25.0850186
內湖區,房地(土地+建物),臺北市內湖區內湖路一段91巷24弄1~30號,35.54,工,,,1051107,土地2建物1車位0,四層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,691210.0,130.71,4,2,2,有,無,6200000,47433.0,,0.0,0,親友、員工或其他特殊關係間之交易。含增建或未登記建物。,RPSNMLKLJHMFFCA17CA,121.5621261,25.0850186
北投區,房地(土地+建物),臺北市北投區立德路120巷1~30號,89.78,工,,,1051201,土地1建物1車位0,地下層,四層,廠辦,工業用,鋼筋混凝土造,771021.0,273.95,3,2,1,有,無,15000000,54755.0,,0.0,0,,RPPOMLQLJHMFFEA77CA,121.472866,25.1238549
萬華區,房地(土地+建物),臺北市萬華區德昌街7巷1~30號,21.25,住,,,1060105,土地4建物1車位0,一層,四層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,,56.84,3,2,1,有,無,9100000,160099.0,,0.0,0,,RPTNMLNKKHMFFBA47CA,121.49983470000001,25.0251556
士林區,房地(土地+建物),臺北市士林區承德路四段151~180號,27.68,工,,,1051101,土地1建物1車位0,十層,十一層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,741125.0,181.89,4,2,2,有,有,27000000,148433.0,,0.0,0,價格含增建、獨立產權公設未包含在建號,RPQWMLTKJHMFFEA88CA,121.52252469999999,25.0867997
南港區,房地(土地+建物),臺北市南港區重陽路190巷12弄1~30號,47.4,工,,,1051214,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,790420.0,129.7,3,2,2,有,有,12550000,96762.0,,0.0,0,含增建或未登記建物。,RPPOMLOLJHMFFDA57DA,121.6026023,25.0569889
北投區,房地(土地+建物),臺北市北投區北投路一段31~60號,34.4,住,,,1060101,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),工業用,鋼筋混凝土造,701221.0,107.28,3,2,1,有,無,11000000,102535.0,,0.0,0,權利人共二人含增建或未登記建物。,RPSPMLNKKHMFFEA97DA,121.50120459999998,25.1238698
內湖區,房地(土地+建物)+車位,臺北市內湖區港墘路181~210號,83.64,工,,,1060106,土地1建物1車位2,九層,十二層,工廠,工業用,鋼筋混凝土造,890328.0,568.78,10,1,0,有,有,81880000,,坡道平面,80.06,3200000,,RPWQMLMJKHMFFCA08DA,121.57488400000001,25.0761959
