鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺.1,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺.2,租金總額元,備註,編號,lng,lat
內湖區,建物,臺北市內湖區新湖二路151~180號,0.0,,,,1060103,土地0建物1車位0,四層,6.0,廠辦,工業用,鋼筋混凝土造,910411.0,359.34,0,0,0,無,無,無,78000,217.0,,0.0,0,,RPWPMLNJJHMFFCA08CC,121.58022340000002,25.0634133
內湖區,建物,臺北市內湖區內湖路一段301~330號,0.0,工,,,1051227,土地0建物1車位4,十層,13.0,廠辦,工業用,見使用執照,910520.0,318.46,6,2,0,有,有,有,135000,424.0,坡道平面,163.06,0,,RPQPMLOJJHMFFCA57CC,121.5672945,25.082230399999997
內湖區,建物,臺北市內湖區堤頂大道二段一百八十一樓51~30號,0.0,工,,,1051222,土地0建物1車位0,五層,12.0,廠辦,工業用,見使用執照,910917.0,720.03,0,0,0,無,有,無,250000,347.0,,0.0,0,內含3個坡平車位。,RPROMLQJJHMFFCA77CC,121.5699899,25.0773389
內湖區,房地(土地+建物),臺北市內湖區新湖二路151~180號,274.15,工,,,1060103,土地1建物1車位0,四層,6.0,廠辦,工業用,鋼筋混凝土造,910411.0,274.15,0,0,0,無,有,無,75000,274.0,,0.0,0,,RPUPMLQJJHMFFCA18CC,121.58022340000002,25.0634133
內湖區,房地(土地+建物)+車位,臺北市內湖區安康路241~270號,620.9,工,,,1051227,土地1建物1車位3,二層,5.0,工廠,工業用,鋼筋混凝土造,780330.0,1126.41,0,0,0,無,無,無,220000,,坡道平面,156.36,0,,RPSOMLMKJHMFFCA57CC,121.61373959999999,25.066185100000002
內湖區,建物,臺北市內湖區港墘路181~210號,0.0,工,,,1060105,土地0建物1車位1,九層,12.0,廠辦,工業用,鋼筋混凝土造,890328.0,264.81,5,0,0,有,有,無,105000,397.0,坡道平面,0.0,0,,RPVOMLMKJHMFFCA87CC,121.57488400000001,25.0761959
內湖區,房地(土地+建物)+車位,臺北市內湖區瑞光路151~180號,0.0,工,,,1051219,土地1建物2車位3,八層,9.0,廠辦,工業用,鋼筋混凝土造,910619.0,651.93,0,0,0,無,有,無,220000,337.0,坡道平面,0.0,0,,RPPOMLNKJHMFFCA37CC,121.57886859999999,25.073947
內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段181~210號,143.0,工,,,1060109,土地1建物1車位3,二層,12.0,廠辦,工業用,見使用執照,910917.0,704.39,0,0,0,無,有,無,214500,305.0,坡道平面,25.26,0,,RPOQMLQKJHMFFCA77CC,121.5699899,25.0773389
松山區,建物,臺北市松山區光復南路31~60號,0.0,住,,,1051230,土地0建物1車位0,五層,11.0,辦公商業大樓,工業用,鋼筋混凝土造,640626.0,677.32,0,0,0,無,有,無,230446,340.0,,0.0,0,1)租金含稅及二代健保費,RPSNMLSJKHMFFDA18CC,121.55773229999998,25.046699800000003
內湖區,房地(土地+建物)+車位,臺北市內湖區堤頂大道二段181~210號,143.0,工,,,1060109,土地1建物1車位3,二層,12.0,廠辦,工業用,見使用執照,910917.0,704.39,0,0,0,無,有,無,214500,305.0,坡道平面,25.26,0,,RPOQMLQKJHMFFCA77CC,121.5699899,25.0773389
